"Region";"Befolkning 1. januar 2022"
"K_3001 Halden";31444
"K_3002 Moss";50290
"K_3003 Sarpsborg";58182
"K_3004 Fredrikstad";83892
"K_3005 Drammen";102273
"K_3006 Kongsberg";27879
"K_3007 Ringerike";31011
"K_3011 Hvaler";4741
"K_3012 Aremark";1315
"K_3013 Marker";3578
"K_3014 Indre Østfold";45608
"K_3015 Skiptvet";3846
"K_3016 Rakkestad";8312
"K_3017 Råde";7633
"K_3018 Våler (Viken)";5913
"K_3019 Vestby";18699
"K_3020 Nordre Follo";61032
"K_3021 Ås";20780
"K_3022 Frogn";16084
"K_3023 Nesodden";19939
"K_3024 Bærum";128982
"K_3025 Asker";96088
"K_3026 Aurskog-Høland";17754
"K_3027 Rælingen";19024
"K_3028 Enebakk";11249
"K_3029 Lørenskog";44693
"K_3030 Lillestrøm";89095
"K_3031 Nittedal";24947
"K_3032 Gjerdrum";6989
"K_3033 Ullensaker";41565
"K_3034 Nes";23898
"K_3035 Eidsvoll";26716
"K_3036 Nannestad";15074
"K_3037 Hurdal";2905
"K_3038 Hole";6859
"K_3039 Flå";1057
"K_3040 Nesbyen";3273
"K_3041 Gol";4667
"K_3042 Hemsedal";2611
"K_3043 Ål";4650
"K_3044 Hol";4504
"K_3045 Sigdal";3492
"K_3046 Krødsherad";2189
"K_3047 Modum";14273
"K_3048 Øvre Eiker";20044
"K_3049 Lier";27584
"K_3050 Flesberg";2720
"K_3051 Rollag";1370
"K_3052 Nore og Uvdal";2455
"K_3053 Jevnaker";6908
"K_3054 Lunner";9144
"K_0301 Oslo";699827
"K_3401 Kongsvinger";17949
"K_3403 Hamar";31999
"K_3405 Lillehammer";28425
"K_3407 Gjøvik";30267
"K_3411 Ringsaker";35073
"K_3412 Løten";7715
"K_3413 Stange";21156
"K_3414 Nord-Odal";5016
"K_3415 Sør-Odal";7978
"K_3416 Eidskog";6032
"K_3417 Grue";4548
"K_3418 Åsnes";7211
"K_3419 Våler (Innlandet)";3597
"K_3420 Elverum";21435
"K_3421 Trysil";6603
"K_3422 Åmot";4195
"K_3423 Stor-Elvdal";2318
"K_3424 Rendalen";1722
"K_3425 Engerdal";1253
"K_3426 Tolga";1551
"K_3427 Tynset";5581
"K_3428 Alvdal";2445
"K_3429 Folldal";1530
"K_3430 Os";1855
"K_3431 Dovre";2498
"K_3432 Lesja";1986
"K_3433 Skjåk";2151
"K_3434 Lom";2211
"K_3435 Vågå";3591
"K_3436 Nord-Fron";5628
"K_3437 Sel";5531
"K_3438 Sør-Fron";3064
"K_3439 Ringebu";4385
"K_3440 Øyer";5082
"K_3441 Gausdal";6079
"K_3442 Østre Toten";14827
"K_3443 Vestre Toten";13572
"K_3446 Gran";13633
"K_3447 Søndre Land";5535
"K_3448 Nordre Land";6577
"K_3449 Sør-Aurdal";2889
"K_3450 Etnedal";1256
"K_3451 Nord-Aurdal";6354
"K_3452 Vestre Slidre";2111
"K_3453 Øystre Slidre";3252
"K_3454 Vang";1587
"K_3801 Horten";27502
"K_3802 Holmestrand";25681
"K_3803 Tønsberg";57794
"K_3804 Sandefjord";64943
"K_3805 Larvik";47777
"K_3806 Porsgrunn";36624
"K_3807 Skien";55513
"K_3808 Notodden";13029
"K_3811 Færder";27165
"K_3812 Siljan";2349
"K_3813 Bamble";14056
"K_3814 Kragerø";10351
"K_3815 Drangedal";4093
"K_3816 Nome";6494
"K_3817 Midt-Telemark";10539
"K_3818 Tinn";5512
"K_3819 Hjartdal";1562
"K_3820 Seljord";2889
"K_3821 Kviteseid";2452
"K_3822 Nissedal";1414
"K_3823 Fyresdal";1198
"K_3824 Tokke";2140
"K_3825 Vinje";3755
"K_4201 Risør";6735
"K_4202 Grimstad";24017
"K_4203 Arendal";45509
"K_4204 Kristiansand";113737
"K_4205 Lindesnes";23147
"K_4206 Farsund";9622
"K_4207 Flekkefjord";9048
"K_4211 Gjerstad";2427
"K_4212 Vegårshei";2131
"K_4213 Tvedestrand";6115
"K_4214 Froland";6098
"K_4215 Lillesand";11279
"K_4216 Birkenes";5342
"K_4217 Åmli";1801
"K_4218 Iveland";1323
"K_4219 Evje og Hornnes";3653
