"Region";"Befolkning 1. januar 2022"
"K_3001 Halden";31444
"K_3002 Moss";50290
"K_3003 Sarpsborg";58182
"K_3004 Fredrikstad";83892
"K_3005 Drammen";102273
"K_3006 Kongsberg";27879
"K_3007 Ringerike";31011
"K_3011 Hvaler";4741
"K_3012 Aremark";1315
"K_3013 Marker";3578
"K_3014 Indre Østfold";45608
"K_3015 Skiptvet";3846
"K_3016 Rakkestad";8312
"K_3017 Råde";7633
"K_3018 Våler (Viken)";5913
"K_3019 Vestby";18699
"K_3020 Nordre Follo";61032
"K_3021 Ås";20780
"K_3022 Frogn";16084
"K_3023 Nesodden";19939
"K_3024 Bærum";128982
"K_3025 Asker";96088
"K_3026 Aurskog-Høland";17754
"K_3027 Rælingen";19024
"K_3028 Enebakk";11249
"K_3029 Lørenskog";44693
"K_3030 Lillestrøm";89095
"K_3031 Nittedal";24947
"K_3032 Gjerdrum";6989
"K_3033 Ullensaker";41565
"K_3034 Nes";23898
"K_3035 Eidsvoll";26716
"K_3036 Nannestad";15074
"K_3037 Hurdal";2905
"K_3038 Hole";6859
"K_3039 Flå";1057
"K_3040 Nesbyen";3273
"K_3041 Gol";4667
"K_3042 Hemsedal";2611
"K_3043 Ål";4650
"K_3044 Hol";4504
"K_3045 Sigdal";3492
"K_3046 Krødsherad";2189
"K_3047 Modum";14273
"K_3048 Øvre Eiker";20044
"K_3049 Lier";27584
"K_3050 Flesberg";2720
"K_3051 Rollag";1370
"K_3052 Nore og Uvdal";2455
"K_3053 Jevnaker";6908
"K_3054 Lunner";9144
"K_0301 Oslo";699827
"K_5445 Laksbygda";2821
"K_5445 Laksbygda";2821
"K_5445 Laksbygdaa";2821
"K_5445 Laksbygdaaa";2821
"K_5445 Laksbygdene";2821
"K_5445 Laksbygdene";2821
"K_5445 Laksbygdenes";2821
"K_5445 Laksbygdenes";2821
"K_5445 Laksbygdenes";2821
"K_5445 Laksbygdenes";2821
